,Brand,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor
71,Realme,3765,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,0,19787,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2.2,Yes,8,Yes,48,LED,16,394,76.1,161.3,191,Yes,No,No,July,2019,2,1080,2340,1,1,1,0,1,0,0,1,0,0
72,Realme,3765,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,0,16649,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2.2,Yes,4,Yes,48,LED,16,394,76.1,161.3,191,Yes,No,No,July,2019,2,1080,2340,1,1,1,0,1,0,0,1,0,0
73,Realme,3765,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,0,19787,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,qualcomm,2.2,Yes,8,Yes,48,LED,16,394,76.1,161.3,191,Yes,No,No,July,2019,2,1080,2340,1,1,1,0,1,0,0,1,0,0
74,Vivo,5000,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No, 256,12990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.3,Yes,4,No,16,LED,32,395,77.33,162.39,201,Yes,No,Yes,July,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
75,Vivo,5000,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No, 256,13990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.3,Yes,6,No,16,LED,32,395,77.33,162.39,201,Yes,No,Yes,July,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
76,Vivo,5000,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No, 256,15990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.3,Yes,6,No,16,LED,32,395,77.33,162.39,201,Yes,No,Yes,July,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
77,Vivo,5000,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No, 256,12990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.3,Yes,4,No,16,LED,32,395,77.33,162.39,201,Yes,No,Yes,July,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
78,Vivo,5000,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No, 256,13990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.3,Yes,6,No,16,LED,32,395,77.33,162.39,201,Yes,No,Yes,July,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
79,Vivo,5000,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No, 256,15990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.3,Yes,6,No,16,LED,32,395,77.33,162.39,201,Yes,No,Yes,July,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
80,Samsung,6000,6.4,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,14999,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,samsung,2.3,Yes,6,Yes,48,LED,16,394,75.10,159.20,191.0,No,No,Yes,February,2020,3,1080,2280,1,0,1,0,0,0,0,1,0,0
