,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor,Manufacturer,Brand__Apple,Brand__Coolpad,Brand__Google,Brand__Huawei,Brand__Infinix,Brand__LG,Brand__Lenovo,Brand__Micromax,Brand__Motorola,Brand__Nokia,Brand__OnePlus,Brand__Oppo,Brand__Realme,Brand__Samsung,Brand__Tecno,Brand__Vivo,Brand__Xiaomi,logPrice
318,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,11126,1,1,1,1,1,2,1,0,2,3,1.8,1,3.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.317039990635239
319,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,14236,1,1,1,1,1,2,1,0,2,3,1.8,1,4.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.563529246630083
320,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,7498,1,1,1,1,1,2,1,0,2,3,1.8,1,2.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.922391597295857
321,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,7999,1,1,1,1,1,2,1,0,2,3,1.8,1,3.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.987071812848821
322,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,11126,1,1,1,1,1,2,1,0,2,3,1.8,1,3.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.317039990635239
323,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,14236,1,1,1,1,1,2,1,0,2,3,1.8,1,4.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.563529246630083
324,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,7498,1,1,1,1,1,2,1,0,2,3,1.8,1,2.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.922391597295857
325,4000,6.26,1,32,1,1,1,0,0,2.0,1,1,0,512,7999,1,1,1,1,1,2,1,0,2,3,1.8,1,3.0,1,12.0,1,8.0,271,76.4,158.65,180.0,0,0,1,7,5,2,720,1520,1,1,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.987071812848821
326,3060,5.86,1,32,1,1,1,0,0,2.0,1,1,0,400,9400,1,1,1,1,1,1,1,0,2,2,1.8,1,4.0,1,13.0,1,8.0,287,72.0,149.5,151.0,0,0,1,1,4,2,1520,720,1,1,1,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.148464968258095
327,3060,5.86,1,32,1,1,1,0,0,2.0,1,1,0,400,6999,1,1,1,1,1,1,1,0,2,2,1.8,1,3.0,1,13.0,1,8.0,287,72.0,149.5,151.0,0,0,1,1,4,2,1520,720,1,1,1,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.85352256068954
328,3000,5.1,1,32,1,0,1,0,1,2.0,1,1,0,200,22999,1,1,1,1,1,2,1,0,2,5,2.3,1,4.0,0,12.0,1,5.0,577,69.59,142.4,152.0,0,0,1,3,2,1,1440,2560,1,1,1,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.043206015705211
329,3000,5.7,1,32,1,1,1,0,0,2.0,1,0,0,256,5999,1,1,1,1,1,1,1,0,2,2,2.0,1,3.0,1,13.0,0,13.0,282,72.9,153.8,155.0,0,0,1,10,4,2,1440,720,1,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.699348067653093
330,4500,6.7,1,128,1,1,1,0,0,2.0,1,1,0,512,22990,1,1,1,1,1,1,1,0,2,3,2.0,1,6.0,1,32.0,1,32.0,385,76.7,164.3,191.0,1,0,1,7,5,3,1080,2400,1,1,1,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.042814617757227
331,4500,6.7,1,128,1,1,1,0,0,2.0,1,1,0,512,27699,1,1,1,1,1,1,1,0,2,3,2.0,1,8.0,1,32.0,1,32.0,385,76.7,164.2,191.0,1,0,1,7,5,3,1080,2400,1,1,1,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.229151590440738
332,3500,6.3,1,128,0,1,1,0,1,2.0,1,1,0,512,16999,1,1,1,1,1,1,1,0,2,3,2.0,1,6.0,1,32.0,1,16.0,409,73.9,155.3,168.0,1,0,1,6,5,3,1080,2340,1,1,1,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.74090979777877
